[01:10:56] [Client thread/INFO]: Setting user: Player611
[01:10:56] [Client thread/INFO]: (Session ID is *censored*)
[01:10:57] [Client thread/INFO]: CXClient Version: alpha 3104
[01:10:57] [Client thread/INFO]: LWJGL Version: 2.9.4
[01:10:58] [Client thread/INFO]: Reloading ResourceManager: Default
[01:10:58] [Sound Library Loader/INFO]: Starting up SoundSystem...
[01:10:58] [Thread-7/INFO]: Initializing LWJGL OpenAL
[01:10:58] [Thread-7/INFO]: (The LWJGL binding of OpenAL.  For more information, see http://www.lwjgl.org)
[01:10:58] [Thread-7/INFO]: OpenAL initialized.
[01:10:58] [Sound Library Loader/INFO]: Sound engine started
[01:11:00] [Client thread/INFO]: Created: 512x512 textures-atlas
[01:11:04] [Server thread/INFO]: Starting integrated minecraft server version 1.8.8
[01:11:04] [Server thread/INFO]: Generating keypair
[01:11:05] [Server thread/INFO]: Preparing start region for level 0
[01:11:05] [Server thread/INFO]: Changing view distance to 8, from 10
[01:11:06] [Server thread/INFO]: Player611[local:E:2c9f91dc] logged in with entity id 230 at (550.3000000119209, 68.0, 192.31415769904117)
[01:11:06] [Server thread/INFO]: Player611 joined the game
[01:11:23] [Client thread/INFO]: [CHAT] §c[CXClient] §fHotkeys are enabled
[01:11:23] [Client thread/INFO]: [CHAT] §c[CXClient] §fD:\Bibliotheken\Desktop\cxclient\eclipse\Client
[01:11:23] [Client thread/INFO]: [CHAT] §c[CXClient] §f0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
[01:12:59] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:12:59] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:12:59] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:12:59] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:12:59] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:12:59] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:12:59] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:12:59] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:12:59] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:12:59] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:12:59] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:12:59] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:12:59] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:00] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:01] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:02] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:03] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:04] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:04] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:04] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
[01:13:04] [Client thread/INFO]: [CHAT] §c[CXClient] §f00000000
